Assay_Type_s	AvgSpotLen_l	BioProject_s	BioSample_s	Center_Name_s	Experiment_s	Instrument_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	Platform_s	ReleaseDate_s	Run_s	SRA_Sample_s	SRA_Study_s	Sample_Name_s	gender_s	source_s	source_name_s	strain_s	tissue_s	AssemblyName_s	Consent_s	InsertSize_l	LibraryLayout_s
OTHER	35	PRJNA142489	SAMN00149507	GEO	SRX033310	Illumina Genome Analyzer II	cDNA	TRANSCRIPTOMIC	GSM636849: 2270LD	29.05.14	359	138	Sus scrofa	ILLUMINA	20.12.10	SRR080702	SRS150290	SRP004851	GSM636849			longissimus dorsi muscle	F2 female from White Duroc × Erhualian	longissimus dorsi muscle		public	0	SINGLE
RNA-Seq	36	PRJNA140779	SAMN00668445	GEO	SRX083308	Illumina Genome Analyzer II	other	TRANSCRIPTOMIC	GSM755025: HeLa sRNA mock sRNA	30.05.14	474	249	Homo sapiens	ILLUMINA	18.07.11	SRR309288	SRS228118	SRP007498	GSM755025			HeLa cell culture				public	0	SINGLE
RNA-Seq	36	PRJNA140779	SAMN00668446	GEO	SRX083309	Illumina Genome Analyzer II	other	TRANSCRIPTOMIC	GSM755026: HeLa ELAV1/HuR sRNA siRNA1	30.05.14	1025	625	Homo sapiens	ILLUMINA	18.07.11	SRR309289	SRS228119	SRP007498	GSM755026			HeLa cell culture				public	0	SINGLE
RNA-Seq	36	PRJNA140779	SAMN00668447	GEO	SRX083310	Illumina Genome Analyzer II	other	TRANSCRIPTOMIC	GSM755027: HeLa ELAV1/HuR sRNA siRNA2	30.05.14	810	466	Homo sapiens	ILLUMINA	18.07.11	SRR309290	SRS228120	SRP007498	GSM755027			HeLa cell culture				public	0	SINGLE
RNA-Seq	35	PRJNA144887	SAMN00690768	GEO	SRX087149	Illumina Genome Analyzer IIx	other	TRANSCRIPTOMIC	GSM769050: sRNA_D15	31.05.14	518	453	Macaca mulatta	ILLUMINA	01.08.11	SRR324705	SRS254708	SRP007611	GSM769050			sRNA_D15		endometrium		public	0	SINGLE
RNA-Seq	35	PRJNA144887	SAMN00690769	GEO	SRX087150	Illumina Genome Analyzer IIx	other	TRANSCRIPTOMIC	GSM769051: sRNA_D21	31.05.14	531	471	Macaca mulatta	ILLUMINA	01.08.11	SRR324706	SRS254709	SRP007611	GSM769051			sRNA_D21		endometrium		public	0	SINGLE
RNA-Seq	36	PRJNA145935	SAMN00710404	GEO	SRX092464	Illumina Genome Analyzer	size fractionation	TRANSCRIPTOMIC	GSM777474: microRNAs from MDV-infected tumorous spleen	31.05.14	266	208	Gallus gallus	ILLUMINA	30.12.13	SRR332252	SRS258148	SRP007876	GSM777474			MDV-infected tumorous spleen		Spleen		public	0	SINGLE
RNA-Seq	36	PRJNA145935	SAMN00710405	GEO	SRX092465	Illumina Genome Analyzer	size fractionation	TRANSCRIPTOMIC	GSM777475: microRNAs from MD lymphoma from liver	31.05.14	218	171	Gallus gallus	ILLUMINA	30.12.13	SRR332253	SRS258149	SRP007876	GSM777475			MD lymphoma from liver		Lymphoma from liver		public	0	SINGLE
RNA-Seq	40	PRJNA145935	SAMN00710406	GEO	SRX092466	Illumina Genome Analyzer	size fractionation	TRANSCRIPTOMIC	GSM777476: microRNAs from non-infected spleen	31.05.14	242	186	Gallus gallus	ILLUMINA	30.12.13	SRR332254	SRS258150	SRP007876	GSM777476			non-infected spleen		Spleen		public	0	SINGLE
RNA-Seq	36	PRJNA145935	SAMN00710407	GEO	SRX092467	Illumina Genome Analyzer	size fractionation	TRANSCRIPTOMIC	GSM777477: microRNAs from non-infected lymphocytes	31.05.14	260	197	Gallus gallus	ILLUMINA	30.12.13	SRR332255	SRS258151	SRP007876	GSM777477			non-infected lymphocytes		Lymphocytes of peripheral blood		public	0	SINGLE
miRNA-Seq	37	PRJNA184379	SAMN01837908	UTRECHT UNIVERSITY	SRX213956	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC		03.03.16	0	137	Mus musculus musculus	ILLUMINA	19.02.13	SRR649535	SRS382968	SRP017758	Shuttle RNA DC-T cell				C57/Bl6		mm9	public	0	SINGLE
miRNA-Seq	40	PRJNA184379	SAMN01837908	UTRECHT UNIVERSITY	SRX213956	Illumina Genome Analyzer II	size fractionation	TRANSCRIPTOMIC		08.06.13	762	207	Mus musculus musculus	ILLUMINA	08.06.13	SRR886747	SRS382968	SRP017758	Shuttle RNA DC-T cell				C57/Bl6		mm9	public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997249	GEO	SRX258926	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	266	Homo sapiens	ILLUMINA	16.05.13	SRR804662	SRS406718	SRP020486	GSM1112869					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997249	GEO	SRX258926	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	241	165	Homo sapiens	ILLUMINA	16.05.13	SRR804663	SRS406718	SRP020486	GSM1112869					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997250	GEO	SRX258927	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	262	Homo sapiens	ILLUMINA	16.05.13	SRR804664	SRS406719	SRP020486	GSM1112870					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997250	GEO	SRX258927	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	258	Homo sapiens	ILLUMINA	16.05.13	SRR804665	SRS406719	SRP020486	GSM1112870					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997250	GEO	SRX258927	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	13	9	Homo sapiens	ILLUMINA	16.05.13	SRR804666	SRS406719	SRP020486	GSM1112870					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997251	GEO	SRX258928	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	269	Homo sapiens	ILLUMINA	16.05.13	SRR804667	SRS406720	SRP020486	GSM1112871					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997251	GEO	SRX258928	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	384	264	Homo sapiens	ILLUMINA	16.05.13	SRR804668	SRS406720	SRP020486	GSM1112871					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997252	GEO	SRX258929	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	268	Homo sapiens	ILLUMINA	16.05.13	SRR804669	SRS406721	SRP020486	GSM1112872					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997252	GEO	SRX258929	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	263	Homo sapiens	ILLUMINA	16.05.13	SRR804670	SRS406721	SRP020486	GSM1112872					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997252	GEO	SRX258929	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	3	2	Homo sapiens	ILLUMINA	16.05.13	SRR804671	SRS406721	SRP020486	GSM1112872					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997253	GEO	SRX258930	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	262	Homo sapiens	ILLUMINA	16.05.13	SRR804672	SRS406722	SRP020486	GSM1112873					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997253	GEO	SRX258930	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	100	68	Homo sapiens	ILLUMINA	16.05.13	SRR804673	SRS406722	SRP020486	GSM1112873					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997254	GEO	SRX258931	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	262	Homo sapiens	ILLUMINA	16.05.13	SRR804674	SRS406723	SRP020486	GSM1112874					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997254	GEO	SRX258931	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	158	106	Homo sapiens	ILLUMINA	16.05.13	SRR804675	SRS406723	SRP020486	GSM1112874					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997255	GEO	SRX258932	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	264	Homo sapiens	ILLUMINA	16.05.13	SRR804676	SRS406724	SRP020486	GSM1112875					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997255	GEO	SRX258932	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	345	234	Homo sapiens	ILLUMINA	16.05.13	SRR804677	SRS406724	SRP020486	GSM1112875					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997256	GEO	SRX258933	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	270	Homo sapiens	ILLUMINA	16.05.13	SRR804678	SRS406725	SRP020486	GSM1112876					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997256	GEO	SRX258933	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	227	158	Homo sapiens	ILLUMINA	16.05.13	SRR804679	SRS406725	SRP020486	GSM1112876					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997257	GEO	SRX258934	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	275	Homo sapiens	ILLUMINA	16.05.13	SRR804680	SRS406726	SRP020486	GSM1112877					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997257	GEO	SRX258934	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	313	221	Homo sapiens	ILLUMINA	16.05.13	SRR804681	SRS406726	SRP020486	GSM1112877					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997258	GEO	SRX258935	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	273	Homo sapiens	ILLUMINA	16.05.13	SRR804682	SRS406727	SRP020486	GSM1112878					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997258	GEO	SRX258935	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	269	Homo sapiens	ILLUMINA	16.05.13	SRR804683	SRS406727	SRP020486	GSM1112878					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997258	GEO	SRX258935	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	25	18	Homo sapiens	ILLUMINA	16.05.13	SRR804684	SRS406727	SRP020486	GSM1112878					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997259	GEO	SRX258936	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	247	Homo sapiens	ILLUMINA	16.05.13	SRR804685	SRS406728	SRP020486	GSM1112879					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997259	GEO	SRX258936	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	244	Homo sapiens	ILLUMINA	16.05.13	SRR804686	SRS406728	SRP020486	GSM1112879					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997259	GEO	SRX258936	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	100	63	Homo sapiens	ILLUMINA	16.05.13	SRR804687	SRS406728	SRP020486	GSM1112879					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997260	GEO	SRX258937	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	257	Homo sapiens	ILLUMINA	16.05.13	SRR804688	SRS406729	SRP020486	GSM1112880					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997260	GEO	SRX258937	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	156	103	Homo sapiens	ILLUMINA	16.05.13	SRR804689	SRS406729	SRP020486	GSM1112880					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997261	GEO	SRX258938	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	267	Homo sapiens	ILLUMINA	16.05.13	SRR804690	SRS406730	SRP020486	GSM1112881					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997261	GEO	SRX258938	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	264	Homo sapiens	ILLUMINA	16.05.13	SRR804691	SRS406730	SRP020486	GSM1112881					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997261	GEO	SRX258938	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	137	94	Homo sapiens	ILLUMINA	16.05.13	SRR804692	SRS406730	SRP020486	GSM1112881					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997262	GEO	SRX258939	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	385	265	Homo sapiens	ILLUMINA	16.05.13	SRR804693	SRS406731	SRP020486	GSM1112882					blood		public	0	SINGLE
RNA-Seq	101	PRJNA196121	SAMN01997262	GEO	SRX258939	Illumina HiSeq 2000	size fractionation	TRANSCRIPTOMIC		03.04.13	276	189	Homo sapiens	ILLUMINA	16.05.13	SRR804694	SRS406731	SRP020486	GSM1112882					blood		public	0	SINGLE
miRNA-Seq	50	PRJNA213914	SAMN02298229	MONSANTO COMPANY	SRX330858	Illumina HiSeq 2000	PCR	TRANSCRIPTOMIC	Lib1	03.08.13	539	372	Mus musculus	ILLUMINA	24.12.13	SRR947051	SRS466504	SRP028401	Mouse_plasma				C57BL/6NHsd			public	0	SINGLE
miRNA-Seq	50	PRJNA213914	SAMN02298229	MONSANTO COMPANY	SRX330860	Illumina HiSeq 2000	PCR	TRANSCRIPTOMIC	Lib2	03.08.13	630	440	Mus musculus	ILLUMINA	24.12.13	SRR947052	SRS466504	SRP028401	Mouse_plasma				C57BL/6NHsd			public	0	SINGLE
miRNA-Seq	50	PRJNA213914	SAMN02298229	MONSANTO COMPANY	SRX330861	Illumina HiSeq 2000	PCR	TRANSCRIPTOMIC	Lib3	03.08.13	595	420	Mus musculus	ILLUMINA	24.12.13	SRR947053	SRS466504	SRP028401	Mouse_plasma				C57BL/6NHsd			public	0	SINGLE
RNA-Seq	50	PRJNA230622	SAMN02435739	GEO	SRX387063	Illumina MiSeq	size fractionation	TRANSCRIPTOMIC		04.12.13	658	407	Homo sapiens	ILLUMINA	29.09.14	SRR1042916	SRS510997	SRP033505	GSM1279747			Plasma		plasma		public	0	SINGLE
RNA-Seq	50	PRJNA230622	SAMN02435738	GEO	SRX387062	Illumina MiSeq	size fractionation	TRANSCRIPTOMIC		04.12.13	841	448	Homo sapiens	ILLUMINA	29.09.14	SRR1042915	SRS510998	SRP033505	GSM1279746			Plasma		plasma		public	0	SINGLE
RNA-Seq	50	PRJNA230622	SAMN02435737	GEO	SRX387064	Illumina MiSeq	size fractionation	TRANSCRIPTOMIC		04.12.13	1020	581	Homo sapiens	ILLUMINA	29.09.14	SRR1042917	SRS510999	SRP033505	GSM1279748			Plasma		plasma		public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202904	GEO	SRX764705	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	2324	1735	Homo sapiens	ILLUMINA	23.11.14	SRR1658345	SRS749064	SRP050084	GSM1551173			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202903	GEO	SRX764706	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	271	205	Homo sapiens	ILLUMINA	23.11.14	SRR1658346	SRS749065	SRP050084	GSM1551174			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202905	GEO	SRX764707	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	539	407	Homo sapiens	ILLUMINA	23.11.14	SRR1658347	SRS749066	SRP050084	GSM1551175			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202906	GEO	SRX764708	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	271	207	Homo sapiens	ILLUMINA	23.11.14	SRR1658348	SRS749067	SRP050084	GSM1551176			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202902	GEO	SRX764709	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	659	494	Homo sapiens	ILLUMINA	23.11.14	SRR1658349	SRS749068	SRP050084	GSM1551177			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202909	GEO	SRX764710	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	787	594	Homo sapiens	ILLUMINA	23.11.14	SRR1658350	SRS749069	SRP050084	GSM1551178			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202911	GEO	SRX764711	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	583	442	Homo sapiens	ILLUMINA	23.11.14	SRR1658351	SRS749070	SRP050084	GSM1551179			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202915	GEO	SRX764712	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	2266	1684	Homo sapiens	ILLUMINA	23.11.14	SRR1658352	SRS749071	SRP050084	GSM1551180			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202917	GEO	SRX764713	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	395	273	Homo sapiens	ILLUMINA	23.11.14	SRR1658353	SRS749072	SRP050084	GSM1551181			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202912	GEO	SRX764714	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	418	294	Homo sapiens	ILLUMINA	23.11.14	SRR1658354	SRS749073	SRP050084	GSM1551182			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202913	GEO	SRX764715	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	578	403	Homo sapiens	ILLUMINA	23.11.14	SRR1658355	SRS749074	SRP050084	GSM1551183			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202907	GEO	SRX764716	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	456	319	Homo sapiens	ILLUMINA	23.11.14	SRR1658356	SRS749075	SRP050084	GSM1551184			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202908	GEO	SRX764717	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	537	373	Homo sapiens	ILLUMINA	23.11.14	SRR1658357	SRS749076	SRP050084	GSM1551185			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202916	GEO	SRX764718	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	668	470	Homo sapiens	ILLUMINA	23.11.14	SRR1658358	SRS749077	SRP050084	GSM1551186			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202910	GEO	SRX764719	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	395	282	Homo sapiens	ILLUMINA	23.11.14	SRR1658359	SRS749078	SRP050084	GSM1551187			brain				public	0	SINGLE
miRNA-Seq	51	PRJNA268092	SAMN03202914	GEO	SRX764720	Illumina HiSeq 2500	size fractionation	TRANSCRIPTOMIC		20.11.14	491	344	Homo sapiens	ILLUMINA	23.11.14	SRR1658360	SRS749079	SRP050084	GSM1551188			brain				public	0	SINGLE
